,LAB_ID,Year,offspring_count,stocking group,PIT.TAG
106,Yuma13_169,2013,3,2013,1B796EF237
107,Yuma13_169,2014,4,2013,1B796EF237
108,Yuma13_172,2013,2,2013,1B796EDC79
109,Yuma13_173,2013,7,2013,1B796EDEB5
110,Yuma13_176,2013,4,2013,1B796EDE5E
111,Yuma13_179,2013,1,2013,1B796EE039
112,Yuma13_184,2013,1,2013,1B796EE713
113,Yuma13_188,2014,6,2013,1B796EEB37
114,Yuma13_188,2015,13,2013,1B796EEB37
115,Yuma13_191,2013,3,2013,1B796EE116
116,Yuma13_192,2013,7,2013,1B796ED88F
117,Yuma13_192,2014,18,2013,1B796ED88F
118,Yuma13_192,2015,15,2013,1B796ED88F
119,Yuma13_192,2016,1,2013,1B796ED88F
120,Yuma13_192,2019,1,2013,1B796ED88F
121,Yuma14_035,2015,7,2014,003ba6409d
122,Yuma14_035,2016,2,2014,003ba6409d
123,Yuma14_035,2017,3,2014,003ba6409d
124,Yuma14_035,2025,1,2014,003ba6409d
125,Yuma14_038,2015,2,2014,003ba64094
126,Yuma14_038,2019,2,2014,003ba64094
127,Yuma14_056,2014,3,2014,003ba64192
128,Yuma14_079,2017,1,2014,003ba640c1
129,Yuma14_079,2019,6,2014,003ba640c1
130,Yuma14_086,2014,1,2014,003ba6417f
131,Yuma15_029,2017,2,2015,003BCB8AA1
132,Yuma15_029,2020,4,2015,003BCB8AA1
133,Yuma15_029,2021,1,2015,003BCB8AA1
134,Yuma15_040,2015,2,2015,003BCB8B15
135,Yuma15_053,2015,1,2015,003BCB8A93
136,Yuma15_075,2016,1,2015,003BCB8A83
137,Yuma15_076,2016,1,2015,003BCB8AD2
138,Yuma15_078,2016,1,2015,003BCB8A87
139,Yuma15_079,2016,1,2015,003BCB8B3B
140,Yuma15_085,2016,1,2015,003BCB8AD8
141,Yuma15_086,2016,1,2015,003BCB8A9D
142,Yuma15_087,2016,1,2015,003BCB8B32
